id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-03-01 20:12:44,"{""short_code"":""aOKuzR"",""original_url"":""https://relay.cloud/lively/garden/1""}"
2,2,155,created,2025-04-16 05:20:42,"{""short_code"":""dRouFr"",""original_url"":""https://hackstack.io/opal/valley/2""}"
3,3,29,created,2025-04-30 08:07:53,"{""short_code"":""nj9eWv"",""original_url"":""https://seeded.app/clear/kernel/3""}"
4,4,314,created,2025-07-27 07:44:14,"{""short_code"":""1AsWHp"",""original_url"":""https://hackstack.io/opal/signal/4""}"
5,5,60,created,2025-10-30 08:32:29,"{""short_code"":""RviHF4"",""original_url"":""https://acme.dev/silver/lagoon/5""}"
6,6,262,created,2025-07-03 19:50:27,"{""short_code"":""ZJWLGb"",""original_url"":""https://acme.dev/jade/meadow/6""}"
7,7,337,created,2025-01-18 09:20:58,"{""short_code"":""4feX5D"",""original_url"":""https://opswise.net/brisk/uplink/7""}"
8,8,368,created,2026-02-02 00:59:12,"{""short_code"":""d8rfXy"",""original_url"":""https://seeded.app/dawn/pioneer/8""}"
9,9,340,created,2025-06-24 09:04:20,"{""short_code"":""5WYBRk"",""original_url"":""https://opswise.net/amber/journey/9""}"
10,10,377,created,2026-02-18 16:01:44,"{""short_code"":""LEd8aH"",""original_url"":""https://relay.cloud/jade/engine/10""}"
11,11,396,created,2025-09-25 07:19:26,"{""short_code"":""1Gcjmr"",""original_url"":""https://opswise.net/calm/journey/11""}"
12,12,88,created,2025-02-19 17:33:33,"{""short_code"":""MVMqfd"",""original_url"":""https://opswise.net/brisk/island/12""}"
13,13,94,created,2025-10-31 13:46:34,"{""short_code"":""OqEZum"",""original_url"":""https://relay.cloud/silver/garden/13""}"
14,14,215,created,2025-05-28 23:01:59,"{""short_code"":""QJ7VVO"",""original_url"":""https://example.com/urban/meadow/14""}"
15,15,15,created,2025-07-29 21:37:32,"{""short_code"":""B3xzlo"",""original_url"":""https://example.com/gold/delta/15""}"
16,16,52,created,2025-04-29 06:15:21,"{""short_code"":""cVtV8D"",""original_url"":""https://seeded.app/mellow/trail/16""}"
17,17,176,created,2025-08-01 01:36:19,"{""short_code"":""Kyid0H"",""original_url"":""https://example.com/rapid/anchor/17""}"
18,18,103,created,2026-02-01 09:42:57,"{""short_code"":""GOc7X2"",""original_url"":""https://acme.dev/dawn/anchor/18""}"
19,19,108,created,2025-04-08 05:59:24,"{""short_code"":""1CcXVo"",""original_url"":""https://hackstack.io/opal/garden/19""}"
20,20,260,created,2025-03-14 17:13:27,"{""short_code"":""L84WgP"",""original_url"":""https://opswise.net/navy/meadow/20""}"
21,21,53,created,2025-09-18 12:53:36,"{""short_code"":""PnVY9t"",""original_url"":""https://opswise.net/mellow/yard/21""}"
22,22,89,created,2025-02-13 11:11:06,"{""short_code"":""QrPCy0"",""original_url"":""https://example.com/mellow/kernel/22""}"
23,23,112,created,2025-07-03 18:06:17,"{""short_code"":""hC0Ezb"",""original_url"":""https://hackstack.io/quiet/journey/23""}"
24,24,290,created,2025-04-11 14:56:46,"{""short_code"":""51JPg3"",""original_url"":""https://example.com/vivid/journey/24""}"
25,25,134,created,2025-03-25 23:32:40,"{""short_code"":""wzCIEI"",""original_url"":""https://example.com/dawn/window/25""}"
26,26,195,created,2025-12-13 12:44:40,"{""short_code"":""fomVLF"",""original_url"":""https://seeded.app/warm/network/26""}"
27,27,249,created,2025-06-27 10:13:01,"{""short_code"":""zT00XJ"",""original_url"":""https://acme.dev/warm/valley/27""}"
28,28,39,created,2026-01-12 21:29:35,"{""short_code"":""U1xnpn"",""original_url"":""https://seeded.app/opal/garden/28""}"
29,29,310,created,2025-11-04 01:57:15,"{""short_code"":""BgiTZY"",""original_url"":""https://example.com/lively/canyon/29""}"
30,30,236,created,2025-05-20 20:16:34,"{""short_code"":""QowJhA"",""original_url"":""https://opswise.net/warm/island/30""}"
31,31,101,created,2025-12-26 01:49:57,"{""short_code"":""srpzV0"",""original_url"":""https://opswise.net/proud/beacon/31""}"
32,32,345,created,2026-01-10 18:06:00,"{""short_code"":""8iu843"",""original_url"":""https://example.com/brisk/network/32""}"
33,33,373,created,2025-02-20 23:19:11,"{""short_code"":""MyWAqD"",""original_url"":""https://seeded.app/keen/pioneer/33""}"
34,34,308,created,2025-04-13 23:49:10,"{""short_code"":""n8pKrR"",""original_url"":""https://example.com/rapid/orbit/34""}"
35,35,358,created,2025-03-11 23:13:43,"{""short_code"":""jF9MvN"",""original_url"":""https://relay.cloud/lively/network/35""}"
36,36,279,created,2026-02-12 13:02:23,"{""short_code"":""pL2AQ6"",""original_url"":""https://seeded.app/clear/island/36""}"
37,37,129,created,2025-11-24 21:13:54,"{""short_code"":""itJHDI"",""original_url"":""https://example.com/warm/window/37""}"
38,38,11,created,2025-09-23 08:41:01,"{""short_code"":""KBtOJO"",""original_url"":""https://hackstack.io/amber/field/38""}"
39,39,110,created,2025-11-17 00:05:57,"{""short_code"":""gHdo2U"",""original_url"":""https://acme.dev/young/river/39""}"
40,40,68,created,2025-02-10 18:52:11,"{""short_code"":""6IRFZT"",""original_url"":""https://hackstack.io/dawn/network/40""}"
41,41,187,created,2025-08-23 12:59:59,"{""short_code"":""QJmg5V"",""original_url"":""https://opswise.net/harbor/network/41""}"
42,42,298,created,2026-01-07 15:35:46,"{""short_code"":""Jtjx5T"",""original_url"":""https://acme.dev/ivory/window/42""}"
43,43,395,created,2025-10-27 01:47:57,"{""short_code"":""Bxhytj"",""original_url"":""https://example.com/rapid/lagoon/43""}"
44,44,120,created,2025-05-09 13:19:31,"{""short_code"":""3iIOW2"",""original_url"":""https://hackstack.io/amber/beacon/44""}"
45,45,262,created,2025-03-01 00:53:39,"{""short_code"":""CxDA0f"",""original_url"":""https://relay.cloud/young/anchor/45""}"
46,46,61,created,2025-09-19 06:18:08,"{""short_code"":""DGEM94"",""original_url"":""https://hackstack.io/jade/yard/46""}"
47,47,268,created,2025-04-01 14:43:13,"{""short_code"":""QfsaSF"",""original_url"":""https://example.com/cobalt/uplink/47""}"
48,48,312,created,2025-03-24 13:14:26,"{""short_code"":""WHzMpv"",""original_url"":""https://relay.cloud/ivory/zenith/48""}"
49,49,152,created,2025-11-13 10:11:51,"{""short_code"":""vNIoPp"",""original_url"":""https://hackstack.io/lively/garden/49""}"
50,50,330,created,2026-02-15 18:06:48,"{""short_code"":""6XX94A"",""original_url"":""https://opswise.net/cobalt/quartz/50""}"
51,51,129,created,2025-01-26 11:39:52,"{""short_code"":""sU4kAl"",""original_url"":""https://example.com/opal/window/51""}"
52,52,287,created,2025-02-07 17:01:55,"{""short_code"":""8E9Htk"",""original_url"":""https://acme.dev/ember/journey/52""}"
53,53,84,created,2025-11-08 03:46:39,"{""short_code"":""FynROp"",""original_url"":""https://hackstack.io/navy/yard/53""}"
54,54,70,created,2025-05-29 02:27:51,"{""short_code"":""Bqxh9h"",""original_url"":""https://opswise.net/urban/engine/54""}"
55,55,341,created,2025-11-21 02:53:33,"{""short_code"":""ADqJyo"",""original_url"":""https://acme.dev/forest/garden/55""}"
56,56,331,created,2025-11-16 07:27:58,"{""short_code"":""M2SQSo"",""original_url"":""https://example.com/ivory/valley/56""}"
57,57,379,created,2025-04-26 20:35:07,"{""short_code"":""jnAHKZ"",""original_url"":""https://hackstack.io/tidy/kernel/57""}"
58,58,93,created,2025-03-08 16:47:48,"{""short_code"":""x8Fs9g"",""original_url"":""https://relay.cloud/ivory/harvest/58""}"
59,59,57,created,2025-09-21 08:27:39,"{""short_code"":""ufu6TS"",""original_url"":""https://opswise.net/quiet/trail/59""}"
60,60,140,created,2025-04-28 04:57:21,"{""short_code"":""KB4mfK"",""original_url"":""https://relay.cloud/opal/valley/60""}"
61,61,246,created,2025-06-14 18:25:18,"{""short_code"":""YtK7rQ"",""original_url"":""https://example.com/warm/pioneer/61""}"
62,62,14,created,2026-01-27 12:16:14,"{""short_code"":""jC2vlB"",""original_url"":""https://opswise.net/keen/yard/62""}"
63,63,41,created,2025-11-27 12:55:22,"{""short_code"":""FdTxrE"",""original_url"":""https://relay.cloud/jade/lagoon/63""}"
64,64,210,created,2025-01-23 19:10:07,"{""short_code"":""Sw6cHh"",""original_url"":""https://example.com/opal/garden/64""}"
65,65,256,created,2025-07-02 14:12:46,"{""short_code"":""SuDdvt"",""original_url"":""https://seeded.app/urban/delta/65""}"
66,66,281,created,2025-08-27 17:44:04,"{""short_code"":""5k24K0"",""original_url"":""https://seeded.app/rapid/anchor/66""}"
67,67,305,created,2025-10-04 08:04:27,"{""short_code"":""Sv25GO"",""original_url"":""https://relay.cloud/mellow/quartz/67""}"
68,68,191,created,2025-07-23 17:48:16,"{""short_code"":""1U39qn"",""original_url"":""https://hackstack.io/dawn/meadow/68""}"
69,69,266,created,2025-11-01 08:05:05,"{""short_code"":""HT2JDd"",""original_url"":""https://opswise.net/lively/quartz/69""}"
70,70,91,created,2026-01-01 16:18:32,"{""short_code"":""Hhlbjq"",""original_url"":""https://example.com/keen/kernel/70""}"
71,71,389,created,2025-12-07 00:11:29,"{""short_code"":""bap8cF"",""original_url"":""https://relay.cloud/vivid/island/71""}"
72,72,228,created,2025-06-30 04:32:19,"{""short_code"":""TTlhHn"",""original_url"":""https://seeded.app/amber/canyon/72""}"
73,73,114,created,2025-03-10 14:10:31,"{""short_code"":""KKmWrN"",""original_url"":""https://example.com/navy/network/73""}"
74,74,170,created,2025-06-09 06:36:24,"{""short_code"":""cmMYZV"",""original_url"":""https://seeded.app/young/trail/74""}"
75,75,156,created,2025-05-03 07:39:51,"{""short_code"":""A2q2KY"",""original_url"":""https://hackstack.io/dawn/yard/75""}"
76,76,52,created,2026-01-09 07:18:26,"{""short_code"":""DxnojP"",""original_url"":""https://opswise.net/gold/signal/76""}"
77,77,245,created,2025-12-30 03:31:30,"{""short_code"":""Cvhcbb"",""original_url"":""https://relay.cloud/urban/canyon/77""}"
78,78,396,created,2025-03-24 18:13:27,"{""short_code"":""hPayKq"",""original_url"":""https://seeded.app/calm/kernel/78""}"
79,79,165,created,2025-02-26 21:49:33,"{""short_code"":""LSFnBW"",""original_url"":""https://seeded.app/harbor/yard/79""}"
80,80,240,created,2025-06-05 19:46:31,"{""short_code"":""mhF7PC"",""original_url"":""https://relay.cloud/ivory/meadow/80""}"
81,81,44,created,2025-05-07 11:04:22,"{""short_code"":""CJmiHO"",""original_url"":""https://relay.cloud/opal/pioneer/81""}"
82,82,224,created,2025-06-03 11:57:41,"{""short_code"":""KAOFnX"",""original_url"":""https://seeded.app/harbor/yard/82""}"
83,83,40,created,2025-05-03 09:26:37,"{""short_code"":""fE4p44"",""original_url"":""https://hackstack.io/warm/signal/83""}"
84,84,376,created,2025-02-25 14:24:19,"{""short_code"":""k9DIbZ"",""original_url"":""https://relay.cloud/gold/quartz/84""}"
85,85,199,created,2026-02-13 03:17:59,"{""short_code"":""axHslf"",""original_url"":""https://acme.dev/lively/delta/85""}"
